time,ship_id,state,detail
256.7777592425392,10,DEPARTED,Shanghai
256.7777592425392,10,ENROUTE,Panama
259.810167399092,21,BERTHED,1
259.810167399092,21,SERVICE_STARTED,1
262.15656596370644,2,SERVICE_COMPLETED,Singapore
262.15656596370644,2,DEPARTED,Singapore
262.15656596370644,2,ENROUTE,Suez
263.860167399092,14,SERVICE_COMPLETED,Suez
263.860167399092,14,DEPARTED,Suez
263.860167399092,14,ENROUTE,Singapore
264.8565659637065,8,SERVICE_COMPLETED,Singapore
264.8565659637065,8,DEPARTED,Singapore
264.8565659637065,8,ENROUTE,Shanghai
273.3398992970398,9,BERTHED,1
273.3398992970398,9,SERVICE_STARTED,1
279.17218515174517,3,BERTHED,2
279.17218515174517,3,SERVICE_STARTED,2
282.3644737094711,6,BERTHED,1
282.3644737094711,6,SERVICE_STARTED,1
293.03989929703977,9,SERVICE_COMPLETED,Singapore
293.03989929703977,9,DEPARTED,Singapore
293.03989929703977,9,ENROUTE,Panama
294.8065659637065,16,BERTHED,1
294.8065659637065,16,SERVICE_STARTED,1
300.3144737094711,13,BERTHED,2
300.3144737094711,13,SERVICE_STARTED,2
303.87323263037314,15,QUEUED,Singapore
306.0732326303731,16,SERVICE_COMPLETED,Singapore
306.0732326303731,15,BERTHED,big
306.0732326303731,15,SERVICE_STARTED,big
306.0732326303731,16,DEPARTED,Singapore
306.0732326303731,16,ENROUTE,Panama
314.79780704280444,6,SERVICE_COMPLETED,Antwerp
314.79780704280444,6,DEPARTED,Antwerp
314.79780704280444,6,ENROUTE,Panama
319.1435007324253,21,SERVICE_COMPLETED,Suez
319.1435007324253,21,DEPARTED,Suez
319.1435007324253,21,ENROUTE,Singapore
320.0644737094711,20,BERTHED,1
320.0644737094711,20,SERVICE_STARTED,1
321.07218515174515,3,SERVICE_COMPLETED,Singapore
321.07218515174515,3,DEPARTED,Singapore
321.07218515174515,3,ENROUTE,Shanghai
324.90656596370644,15,SERVICE_COMPLETED,Singapore
324.90656596370644,15,DEPARTED,Singapore
324.90656596370644,15,ENROUTE,Shanghai
338.59780704280445,13,SERVICE_COMPLETED,Antwerp
338.59780704280445,13,DEPARTED,Antwerp
338.59780704280445,13,ENROUTE,Suez
350.4811403761378,20,SERVICE_COMPLETED,Antwerp
350.4811403761378,20,DEPARTED,Antwerp
350.4811403761378,20,ENROUTE,Suez
367.83432520624575,8,BERTHED,1
367.83432520624575,8,SERVICE_STARTED,1
424.0499443942844,3,BERTHED,2
424.0499443942844,3,SERVICE_STARTED,2
425.6176585395791,8,SERVICE_COMPLETED,Shanghai
425.6176585395791,8,DEPARTED,Shanghai
425.6176585395791,8,ENROUTE,Singapore
427.8843252062457,15,BERTHED,1
427.8843252062457,15,SERVICE_STARTED,1
441.40099187291236,15,SERVICE_COMPLETED,Shanghai
441.40099187291236,15,DEPARTED,Shanghai
441.40099187291236,15,ENROUTE,Panama
441.8947523990222,12,BERTHED,1
441.8947523990222,12,SERVICE_STARTED,1
442.4036681315173,1,BERTHED,1
442.4036681315173,1,SERVICE_STARTED,1
446.070334798184,1,SERVICE_COMPLETED,Antwerp
446.070334798184,1,DEPARTED,Antwerp
446.070334798184,1,ENROUTE,Suez
451.0167333627985,7,BERTHED,1
451.0167333627985,7,SERVICE_STARTED,1
453.83327772761777,3,SERVICE_COMPLETED,Shanghai
453.83327772761777,3,DEPARTED,Shanghai
453.83327772761777,3,ENROUTE,Singapore
460.42808573235556,5,BERTHED,2
460.42808573235556,5,SERVICE_STARTED,2
460.6964652607462,2,BERTHED,1
460.6964652607462,2,SERVICE_STARTED,1
462.40006669613183,14,BERTHED,2
462.40006669613183,14,SERVICE_STARTED,2
465.26141906568887,12,SERVICE_COMPLETED,Panama
465.26141906568887,12,DEPARTED,Panama
465.26141906568887,12,ENROUTE,Antwerp
484.46141906568886,19,BERTHED,1
484.46141906568886,19,SERVICE_STARTED,1
492.1667333627985,7,SERVICE_COMPLETED,Singapore
492.1667333627985,7,DEPARTED,Singapore
492.1667333627985,7,ENROUTE,Suez
496.9947523990222,5,SERVICE_COMPLETED,Panama
496.9947523990222,5,DEPARTED,Panama
496.9947523990222,5,ENROUTE,Shanghai
510.1114190656888,22,BERTHED,1
510.1114190656888,22,SERVICE_STARTED,1
515.9125111197604,4,BERTHED,1
515.9125111197604,4,SERVICE_STARTED,1
517.6834000294651,21,BERTHED,1
517.6834000294651,21,SERVICE_STARTED,1
519.4631319274129,2,SERVICE_COMPLETED,Suez
519.4631319274129,2,DEPARTED,Suez
519.4631319274129,2,ENROUTE,Singapore
527.3413077752298,13,BERTHED,1
527.3413077752298,13,SERVICE_STARTED,1
528.5954177821184,8,QUEUED,Singapore
532.5458444530938,4,SERVICE_COMPLETED,Panama
532.5458444530938,4,DEPARTED,Panama
532.5458444530938,4,ENROUTE,Singapore
537.7780857323555,19,SERVICE_COMPLETED,Panama
537.7780857323555,19,DEPARTED,Panama
537.7780857323555,19,ENROUTE,Antwerp
539.2246411085631,20,BERTHED,2
539.2246411085631,20,SERVICE_STARTED,2
542.3500666961319,14,SERVICE_COMPLETED,Singapore
542.3500666961319,8,BERTHED,big
542.3500666961319,8,SERVICE_STARTED,big
542.3500666961319,14,DEPARTED,Singapore
542.3500666961319,14,ENROUTE,Shanghai
555.7413077752298,13,SERVICE_COMPLETED,Suez
555.7413077752298,13,DEPARTED,Suez
555.7413077752298,13,ENROUTE,Antwerp
556.811036970157,3,BERTHED,1
556.811036970157,3,SERVICE_STARTED,1
559.6280857323554,22,SERVICE_COMPLETED,Shanghai
559.6280857323554,22,DEPARTED,Shanghai
559.6280857323554,22,ENROUTE,Singapore
562.6125111197605,11,BERTHED,1
562.6125111197605,11,SERVICE_STARTED,1
572.2000666961318,21,SERVICE_COMPLETED,Singapore
572.2000666961318,21,DEPARTED,Singapore
572.2000666961318,21,ENROUTE,Shanghai
572.7958444530938,17,BERTHED,2
572.7958444530938,17,SERVICE_STARTED,2
587.5125111197605,11,SERVICE_COMPLETED,Panama
587.5125111197605,11,DEPARTED,Panama
587.5125111197605,11,ENROUTE,Antwerp
589.995614085609,6,BERTHED,1
589.995614085609,6,SERVICE_STARTED,1
595.1834000294652,8,SERVICE_COMPLETED,Singapore
595.1834000294652,8,DEPARTED,Singapore
595.1834000294652,8,ENROUTE,Suez
604.5122807522756,6,SERVICE_COMPLETED,Panama
604.5122807522756,6,DEPARTED,Panama
604.5122807522756,6,ENROUTE,Antwerp
605.3777036368238,3,SERVICE_COMPLETED,Singapore
605.3777036368238,3,DEPARTED,Singapore
605.3777036368238,3,ENROUTE,Shanghai
622.7558449748948,18,BERTHED,1
622.7558449748948,18,SERVICE_STARTED,1
634.8138355306094,1,BERTHED,1
634.8138355306094,1,SERVICE_STARTED,1
645.3278259386711,14,BERTHED,1
645.3278259386711,14,SERVICE_STARTED,1
648.0471688639427,1,SERVICE_COMPLETED,Suez
648.0471688639427,1,DEPARTED,Suez
648.0471688639427,1,ENROUTE,Antwerp
650.6246411085631,20,SERVICE_COMPLETED,Suez
650.6246411085631,20,DEPARTED,Suez
650.6246411085631,20,ENROUTE,Singapore
657.6558449748948,18,SERVICE_COMPLETED,Panama
657.6558449748948,18,DEPARTED,Panama
657.6558449748948,18,ENROUTE,Antwerp
660.5625111197604,17,SERVICE_COMPLETED,Panama
660.5625111197604,17,DEPARTED,Panama
660.5625111197604,17,ENROUTE,Antwerp
662.6058449748947,22,BERTHED,1
662.6058449748947,22,SERVICE_STARTED,1
662.7891783082281,10,BERTHED,1
662.7891783082281,10,SERVICE_STARTED,1
664.3611592720044,14,SERVICE_COMPLETED,Shanghai
664.3611592720044,14,DEPARTED,Shanghai
664.3611592720044,14,ENROUTE,Singapore
672.2558449748947,22,SERVICE_COMPLETED,Singapore
672.2558449748947,22,DEPARTED,Singapore
672.2558449748947,22,ENROUTE,Suez
675.177825938671,21,BERTHED,1
675.177825938671,21,SERVICE_STARTED,1
675.1891783082281,10,SERVICE_COMPLETED,Panama
675.1891783082281,10,DEPARTED,Panama
675.1891783082281,10,ENROUTE,Shanghai
690.7066326598383,7,BERTHED,1
690.7066326598383,7,SERVICE_STARTED,1
708.355462879363,3,BERTHED,2
708.355462879363,3,SERVICE_STARTED,2
714.3611592720043,21,SERVICE_COMPLETED,Shanghai
714.3611592720043,21,DEPARTED,Shanghai
714.3611592720043,21,ENROUTE,Panama
718.0030312244527,2,BERTHED,1
718.0030312244527,2,SERVICE_STARTED,1
