alpha,beta,gamma,mean_norm_improvement
0.39827149343011653,0.36686957973232764,0.7796910002727695,0.058959314855136655
0.29842507897324355,0.8916655057071825,0.09997491581800291,0.058510092767230806
0.22962444598293363,0.6674172222780438,0.1428668179219408,0.058500305732652406
0.3254442364744265,0.11282315805420054,0.7219987722668249,0.05764992908284264
0.4692763545078752,0.001557531682028657,0.9922115592912177,0.058893506086404764
0.3087407548138583,0.8336692304455875,0.8959306980804572,0.058510092767230806
0.19955029348234493,0.14697093417063936,0.7334083044764341,0.058490209186009286
0.36225035162548636,0.41906258425454557,0.7951514438580501,0.05888746654719832
0.4506576808089027,0.3378285456562407,0.9715928368444724,0.059740464999339576
0.4981256355376688,0.7776392023899135,0.6991564792029269,0.05838720201490124
0.005311598094571325,1.9883742731107472,0.2273386169101122,0.058893429546738756
0.015241170441768984,1.9216013580247826,0.6940312292993523,0.06040781669125679
0.19604023053247188,1.9932973680721302,0.9947043556840978,0.05888113659749816
0.019760368690553146,1.45358673229489,0.6575573045456108,0.05878818826488164
0.25828123408996806,1.8526171846452273,0.3511343079401981,0.05939144629361182
0.30163685140100527,0.25299402764820283,0.7143787940975206,0.05888113659749816
0.1404578869971941,1.7449349597948156,0.36112954452167073,0.05888113659749816
0.33149304516651207,1.1855229963563312,0.8162775647139487,0.05876257238237777
0.4134052350297521,1.6070039293402592,0.3863613901720595,0.05859779262322291
0.2681989142388989,1.0470382412608135,0.9571557773460251,0.05888746654719832
0.3429826898695989,1.3206470529965353,0.11653090909966848,0.058410930834590855
0.011148603913348877,0.5297765732701433,0.4489318942608813,0.05878070016722226
0.26020771046468666,0.9713595187369273,0.20245855464049584,0.05904975478783397
0.4923329167758291,1.5293007464450608,0.38382689782443913,0.05822070207071353
0.3101898393430583,1.1159854321757583,0.2981887570973463,0.058771839427131156
0.08281616573058954,1.6763875067526746,0.07457698541321701,0.060108914382038366
0.2961928393163809,1.9987185315128295,0.6127212626632565,0.05879392089559287
0.3007773566784275,0.5974994631871112,0.9115155696618185,0.0565104478483456
0.06720094467489586,1.2520374195817803,0.9336007624341549,0.05899644732506748
0.38362793327222605,1.3887110838597174,0.7565681636702587,0.059348608218358405
