ship_id,improvement_ratio_baseline,improvement_ratio_agent,difference_pct
1,2.939016045650099,9.386242451583437,6.447226405933337
2,3.782376061953554,10.00309986037218,6.220723798418625
3,3.279605986774656,7.929221544379398,4.649615557604742
6,0.6528952324811672,5.072957820233004,4.420062587751836
13,2.856800210852225,5.938475726465507,3.081675515613282
8,6.786391879495948,9.31997630148743,2.533584421991481
19,9.854430630260609,11.544716481555412,1.690285851294803
4,0.426766061306889,1.4515864540956274,1.0248203927887385
17,4.754333741340947,5.637532153809241,0.8831984124682943
5,3.4280718561253547,4.059677830707913,0.6316059745825582
16,3.2786523687260023,3.7173271827474985,0.4386748140214962
11,1.0204411783014098,1.4550645291357014,0.4346233508342916
14,7.232723477858594,7.232723477858594,0.0
9,1.8740919260481557,1.8740919260481557,0.0
10,8.005712831426466,8.005712831426466,0.0
18,6.715409123841211,6.715409123841211,0.0
12,2.176509013137542,2.142760534715905,-0.033748478421637085
20,11.29390524927673,10.345245356267666,-0.9486598930090633
15,6.856456221435288,5.842183975109802,-1.0142722463254863
22,7.390804113613135,6.068614799655403,-1.3221893139577316
21,9.105114448217035,7.223579894535678,-1.881534553681357
7,6.304765247745427,4.416707205639517,-1.8880580421059099
