ship_id,improvement_h,improvement_ratio,time_in_queue,time_in_service,time_in_storm,loops
1,38.549999999999045,9.211021973063355,264.1342514177105,2467.0666666666657,0.0,40
2,42.98333333333164,9.735092279207267,100.87369965803593,2316.3666666666677,0.0,38
3,11.049999999998505,4.936219609316918,369.91666666666634,3619.033333333335,1426.8988317709661,61
4,14.03333333333319,1.4515864540956274,179.01666666666696,956.8833333333309,1805.1580450351469,16
5,28.366666666667243,3.3428019680043324,208.6166666666668,1287.6666666666674,742.3404630173746,19
6,26.466666666667834,4.541069345281401,205.3940115799739,1827.4333333333318,0.0,28
7,79.51666666666688,4.1245077467418785,262.69806822619194,2448.899999999994,0.0,19
8,142.08798224735142,9.31997630148743,162.11865898076707,2858.549999999994,815.3707610119806,23
9,0.0,0.0,186.88333333333213,1336.8666666666688,2707.73706755272,10
10,221.25000000000136,8.005712831426466,93.74999999999943,1691.316666666669,1353.8685337763602,14
11,0.0,0.0,245.85236745422623,1283.5999999999988,2256.4475562939338,9
12,66.66666666666242,2.142760534715905,35.88333333333333,1213.549999999996,742.3404630173746,11
13,125.96666666666079,5.63149304148337,160.7408567661788,2036.6000000000022,0.0,16
14,282.83333333332484,7.232723477858594,278.37894875596635,3982.8499999999967,407.6853805059903,13
15,81.80190255578054,1.4824788467942263,271.0166666666664,2578.533333333328,1150.025843523365,9
16,268.8634350798966,3.7173271827474985,670.2333333333322,2400.3666666666636,902.5790225175733,7
17,299.1259275854645,4.37259572292739,306.4833333333354,2199.6666666666715,1805.1580450351469,7
18,185.69999999998072,3.0316068416123034,157.44648137456534,2776.4000000000033,902.5790225175734,8
19,562.0017233731633,8.308891282124556,177.23333333333358,2502.583333333335,494.8936420115831,8
20,530.6166666666595,10.345245356267666,405.61666666666906,3652.133333333336,0.0,10
21,241.93333333333976,7.223579894535678,476.4333333333334,3185.833333333332,203.84269025299514,12
22,197.86666666666952,5.068706549986367,602.4000000000001,3243.616666666669,203.84269025299514,12
