ship_id,improvement_h,improvement_ratio,time_in_queue,time_in_service,time_in_storm,loops
1,11.483333333336418,2.939016045650099,434.09999999999684,7202.233333333323,0.0,119
2,15.616666666664514,3.782376061953554,468.11849689338527,6821.750000000003,0.0,114
3,7.166666666667425,3.279605986774656,1317.3846815583277,11184.066666666653,3465.325734300917,185
4,4.083333333333485,0.42676606130688904,297.666666666663,2683.333333333346,4964.184623846653,48
5,28.90000000000032,3.4280718561253547,396.41666666666424,3699.0166666666423,1732.127747040541,58
6,3.633333333331734,0.6528952324811672,492.130004405051,5692.166666666665,0.0,84
7,121.55000000002019,6.304765247745427,453.13140155951896,7174.599999999975,0.0,58
8,100.65000000000373,6.786391879495948,1001.4748526760227,8391.000000000022,2242.269592782947,69
9,61.26666666668643,1.8740919260481554,340.29879427702036,4062.7833333333456,4964.184623846653,33
10,256.60797154532384,9.285106126312785,404.7826260522846,5269.083333333312,2955.1838885585125,44
11,59.03333333335286,1.7219641036418292,678.5080561514383,3854.333333333352,4512.895112587867,30
12,67.71666666665806,2.176509013137542,472.0797153261939,3992.450000000032,1484.6809260347493,34
13,61.633333333327755,2.856800210852225,739.6286632378125,6457.533333333338,0.0,49
14,282.83333333332484,7.232723477858594,1265.8500000000006,12452.833333333338,1426.8988317709661,39
15,378.3333333333394,6.8564562214352875,1219.066666666662,8827.533333333326,1150.025843523365,30
16,232.76666666666642,3.2786523687260023,1009.0895233111519,7297.816666666657,2256.4475562939333,22
17,325.24033332708314,4.754333741340947,951.4333333333252,6744.1166666666595,4512.895112587867,22
18,411.34999999998763,6.715409123841211,925.8710994953508,8009.033333333344,1717.9497835295542,27
19,668.4121735518656,9.854430630260607,802.3742943848683,8117.649999999946,989.7872840231662,25
20,599.4000000000024,11.29390524927673,1258.7833333333315,10601.716666666667,0.0,31
21,304.9500000000062,9.105114448217035,1251.8999999999987,9500.483333333326,902.5790225175733,36
22,292.63333333334594,7.390804113613135,1219.8333333333435,10018.866666666667,655.1322015117819,35
