loop,cum_reward
173,-3220.9363415825655
174,-3239.6751847736477
175,-3225.225184773648
176,-3315.76897443141
177,-3330.735641098077
178,-3328.7785970789173
179,-3342.6952637455843
180,-3357.177382063631
181,-3535.1477735762105
182,-3506.55525773418
183,-3600.355257734182
184,-3606.0043343024513
185,-3658.4043343024514
186,-3587.15692607057
187,-3606.6735927372374
188,-3625.7825859172794
189,-3647.5879268564386
190,-3698.021206947125
191,-3932.3726453013346
192,-4005.036301663524
193,-3995.8194868162404
194,-4026.1028201495737
195,-3923.895972187899
196,-3975.7115311436064
197,-4006.327781136059
198,-4245.448800127961
199,-4126.736120454856
200,-4132.852787121523
201,-4169.7496146373105
202,-4134.832194635
203,-4148.724386408142
204,-4194.757719741476
205,-4223.731660311596
206,-4272.371682298326
207,-4253.571682298325
208,-4400.766547740627
209,-4428.400557853896
210,-4366.529565617751
211,-4407.199795654693
212,-4426.552202340832
213,-4293.081905688377
214,-4305.412527195596
215,-4321.546253768179
216,-4509.612920434846
217,-4363.541169322024
218,-4365.840672713644
219,-4518.664507560143
220,-4492.119074276704
221,-4508.685740943371
222,-4428.713164842345
223,-4387.491134982495
224,-4473.661915492414
225,-4498.100882442278
226,-4613.25234386726
227,-4611.819010533927
228,-4615.20234386726
229,-4587.652445674283
230,-4509.429731960119
231,-4529.64917510704
232,-4573.865841773706
233,-4595.489448405644
234,-4457.558301977749
235,-4421.511055065117
236,-4434.427721731784
237,-4468.211055065117
238,-4421.412965162423
239,-4447.202705039
240,-4415.579586162362
241,-4472.047044315286
242,-4477.738100395541
243,-4477.988100395542
244,-4311.838100395541
245,-4254.277891975643
246,-4060.284369605191
247,-4168.867702938527
248,-4206.171881513367
249,-4172.681885985787
250,-4168.598552652453
251,-4140.700780674973
252,-4147.282510166162
253,-4156.177677088349
254,-4086.1983148188433
255,-4090.4836961343262
256,-4107.53373000078
257,-4324.168137163383
258,-4326.0897385214075
259,-4349.9512751475395
260,-4457.860560755877
261,-4490.068336473736
262,-4491.9899378317605
263,-4687.211539189789
264,-4749.525737715963
265,-4452.321411488523
266,-4489.476346179882
267,-4484.319909395064
268,-4474.017834876603
269,-4504.58450154327
270,-4488.542387820682
271,-4391.825219116181
272,-4410.4752191161815
273,-4592.591885782847
274,-4778.875211287235
275,-4732.468716430508
276,-4745.206984455201
277,-4780.420753152487
278,-4822.204086485821
279,-4894.686309711454
280,-5117.331754664814
281,-5075.815087998148
282,-5040.385164799536
283,-5042.306766157561
284,-5070.137418452465
285,-5033.316073024248
286,-5012.657406335885
287,-5014.579007693909
288,-5153.858595129398
289,-5155.663076325576
290,-5095.840725970178
291,-4970.1573926368455
292,-4972.07899399487
293,-4845.708836425162
294,-4866.737982672932
295,-4911.824378694452
296,-5053.730981193577
297,-5049.080981193576
298,-5017.249652948149
299,-5135.732986281486
300,-5215.228544615548
301,-5296.971356731229
302,-5200.288023397896
303,-5211.021356731229
304,-5244.2538854275135
305,-5319.967253045428
306,-5325.461666944048
307,-5347.6146200738585
308,-5342.685748591519
309,-5382.682534071616
310,-5309.3426757713
311,-5311.264277129324
312,-5213.429789308696
313,-5230.279789308695
314,-5182.224591322568
315,-5335.841257989232
316,-5401.405836105958
317,-5406.344104130648
318,-5422.399038822005
319,-5436.464738402472
320,-5648.785462433932
321,-5994.496371955184
322,-6759.030638843364
323,-6901.030665413856
324,-7099.371466888739
325,-7328.829985076388
326,-7348.60987511142
327,-7357.618051328109
328,-7376.740278034392
329,-7768.121112063137
330,-8004.972186601605
331,-8038.3555199349385
332,-8081.582446472659
333,-8355.300287125114
334,-8357.221888483138
335,-8654.963721349852
336,-8656.885322707876
337,-8778.293605988907
338,-8794.843605988908
339,-8749.404706130224
340,-8527.25016235426
341,-8590.473907834803
342,-8585.79003024524
343,-8619.04003024524
344,-8659.74003024524
345,-8677.842678142799
346,-8714.160095531131
347,-8741.562761901301
348,-8683.756195446333
349,-9379.073795667846
350,-9439.3179348835
351,-10261.31372519581
352,-10310.304157169821
353,-10263.563045732402
354,-10250.860779879282
355,-10284.602264810386
356,-10345.485598143721
357,-10462.818931477052
358,-10490.085598143718
359,-10511.817843299314
360,-10542.979845494854
361,-10413.797272753805
362,-10346.22379274833
363,-10382.919856413124
364,-10403.021101350867
365,-10408.204434684201
366,-11030.950487753442
367,-11079.000487753443
368,-11280.62068598887
369,-11294.60690413608
370,-11299.523570802747
371,-11308.615379906569
372,-11310.536981264593
373,-11309.569871382837
374,-11639.30738004442
375,-11694.033734950597
376,-11732.708545821717
377,-11688.847892148176
378,-11556.569022756468
379,-11585.135689423134
380,-13083.28624088924
381,-13001.462078973025
382,-12998.27874563969
383,-12951.983607738153
384,-12953.905209096178
385,-12993.869840716665
386,-13034.738778623401
387,-13033.6887786234
388,-12813.345106549901
389,-12837.960080815717
390,-13049.999856690145
391,-13261.776045247652
392,-13494.010688352499
393,-13498.776369460355
394,-13498.791610630797
395,-13500.713211988821
396,-13528.896401966513
397,-13536.542312675962
398,-13436.326161322559
399,-13442.202292397293
400,-13430.916142894555
401,-13782.366662481923
402,-13784.288263839948
403,-13692.350331627298
404,-13633.485245766005
405,-13656.871598684766
406,-13975.154932018093
407,-14003.62159868476
408,-13981.286420297565
409,-14023.136420297566
410,-14047.85308696423
411,-14004.490843930382
412,-14029.013280698959
413,-14036.711062102018
414,-13992.676559307301
415,-13939.75567960193
416,-13920.937757956655
417,-13953.898756773497
418,-13989.560394772328
419,-13989.427061438993
420,-14221.21926673632
421,-13907.956904040246
422,-13884.922421626188
423,-13856.336913452324
424,-13847.725498191263
425,-13862.042164857929
426,-13871.24216485793
427,-14007.142164857925
428,-14064.880123636987
429,-14081.661612690248
430,-14039.272988733526
431,-14240.576553575545
432,-14262.593220242212
433,-14271.38742409021
434,-14282.606055854987
435,-14297.307950728979
436,-14270.346742998227
437,-14285.75068384032
438,-14172.448808963458
439,-14174.865475630126
440,-14235.587939119314
441,-13979.025677530535
442,-13959.38751020214
443,-13727.309132237679
444,-13792.596097862684
445,-13796.737150864172
446,-14058.090031068336
447,-14081.376568539335
448,-14108.743235206002
449,-14129.823184041656
450,-14581.65062926443
451,-14636.333962597764
452,-14646.567295931098
453,-14654.860969121224
454,-14678.619971537571
455,-14788.91668897171
456,-15099.000022305041
457,-15111.076165694849
458,-14944.326084403498
459,-14994.439398224484
460,-14838.47954383978
461,-15176.405736405726
462,-15920.084652792626
463,-16036.236913091167
464,-16002.415651001982
465,-16144.983030086456
466,-16009.366363419787
467,-16026.510601122567
468,-16039.488985110465
469,-16056.573720538385
470,-15999.12264354976
471,-16037.722643549758
472,-16159.46478884739
473,-15802.895715748133
474,-15792.24770621607
475,-15827.731039549404
476,-15838.86437288274
477,-15913.051897570418
478,-15742.08864482555
479,-15773.64393138436
480,-15577.041446347837
481,-15565.62580976771
482,-15528.74144430308
483,-15457.816307933801
484,-15363.357125325
485,-15447.639324233134
486,-17771.20275217404
487,-17765.686085507372
488,-17713.514179700684
489,-17519.930846367344
490,-17534.27415843953
491,-17542.190825106198
492,-17504.235629143408
493,-17774.283407057916
494,-17803.051001512373
495,-17836.984334845707
496,-17667.81474177421
497,-17612.636270331026
498,-17622.896365337503
499,-17552.049464031374
500,-18916.2846644744
501,-18982.036376671218
502,-19104.79627648422
503,-19126.713596634298
504,-19128.760988760732
505,-19346.108661997107
506,-19348.858661997107
507,-19432.12266591328
508,-19461.939332579946
509,-19510.72266591328
510,-19391.621795477422
511,-19413.305128810753
512,-19415.036680725396
513,-19421.710947713826
514,-19472.39586231836
515,-19585.312528985025
516,-19605.553669207715
517,-19616.350388662584
518,-19695.850553088614
519,-19730.70472130184
520,-19862.664680197347
521,-19827.634513907553
522,-19906.61084960307
523,-19946.660849603068
524,-19997.427516269738
525,-20608.51084960307
526,-20642.844182936402
527,-20644.765784294428
528,-20741.170718985784
529,-20781.64430684109
530,-20720.444211459937
531,-20749.68606058775
532,-20755.76939392108
533,-20712.82211565905
534,-20714.743717017078
535,-20661.865187168376
536,-20597.276134113097
537,-20805.848211828674
538,-20814.834900196365
539,-20823.82260461579
540,-20780.54627166338
541,-20903.910435968406
542,-20905.832037326432
543,-20921.14094800062
544,-20950.98429086049
545,-20952.905892218518
546,-20990.875528149703
547,-21208.90956495806
548,-21307.78661341962
549,-21342.393755114754
550,-21305.877088448084
551,-21322.010720037502
552,-21307.26018956267
553,-21312.68843623008
554,-21318.63843623008
555,-21346.607894770845
556,-21374.34122810418
557,-21396.83940712063
558,-21290.91852327964
559,-21197.546259859773
560,-21206.44142678196
561,-21209.99142678196
562,-21294.946950954753
563,-21292.67679355849
564,-21285.623951004152
565,-21311.48818148271
566,-21348.524119070724
567,-21313.26497418927
568,-21763.790368519258
569,-21684.1220090506
570,-21725.222009050598
571,-21741.65648248921
572,-21753.923149155875
573,-21758.43435214632
574,-21976.602892786963
575,-22009.893257419022
576,-22084.575797924652
577,-22487.379362766675
578,-22473.309669320635
579,-22575.009669320632
580,-22370.501573826295
581,-22378.268240492962
582,-22388.114090120718
583,-22339.5751841045
584,-22281.985300870012
585,-22377.527767261596
586,-22392.327767261595
587,-22408.97748341689
588,-22282.83859164659
589,-22300.205258313257
590,-22327.171924979924
591,-22368.471924979924
592,-22599.098729070225
593,-22611.753231817784
594,-22620.84346863291
595,-22653.642688394644
596,-22622.765653089504
597,-22618.798986422833
598,-22630.805726689712
599,-22384.633311648922
600,-22565.846663018216
601,-22481.44279020415
602,-22504.92418012878
603,-22488.726863204523
604,-22473.780563043336
605,-22469.23585164343
606,-22477.51918497676
607,-22823.293714027368
608,-22826.43779954356
609,-23608.17206643174
610,-23638.882948328235
611,-23537.72665960201
612,-23588.265461604406
613,-23610.782128271072
614,-23604.782128271072
615,-23266.85936086566
