ship_id,improvement_h,improvement_ratio,time_in_queue,time_in_service,time_in_storm,loops
1,11.483333333336418,2.939016045650099,305.9499999999954,4783.749999999985,0.0,79
2,15.616666666664514,3.782376061953554,343.3351635600524,4516.133333333327,0.0,76
3,7.166666666667425,3.279605986774656,965.0338431775929,7315.283333333342,2853.797663541932,122
4,4.083333333333485,0.42676606130688904,219.61666666666733,1859.3666666666572,3610.3160900702937,32
5,28.90000000000032,3.4280718561253547,240.86666666666133,2488.716666666654,1237.2341050289576,39
6,3.633333333331734,0.6528952324811672,453.29667107171525,3630.833333333322,0.0,57
7,81.61666666667497,4.233434172248371,330.2314015595248,4988.649999999978,0.0,38
8,100.65000000000373,6.786391879495948,582.754060605715,5712.299999999996,1834.5842122769566,46
9,24.783333333338305,0.7580997535455024,254.78212761035758,2674.0666666666784,3610.3160900702933,22
10,221.25000000000136,8.005712831426466,218.68262605229336,3522.233333333328,2212.8434255411375,29
11,34.98333333333903,1.0204411783014098,391.53333333333063,2539.2333333333318,3610.3160900702937,20
12,67.71666666665806,2.176509013137542,278.0514079853293,2480.4500000000176,1237.2341050289579,23
13,61.633333333327755,2.856800210852225,470.0619965711395,4162.533333333324,0.0,33
14,282.83333333332484,7.232723477858594,838.9333333333291,8136.166666666673,1019.2134512649757,26
15,378.3333333333394,6.8564562214352875,714.7333333333336,5536.9000000000015,1150.025843523365,20
16,232.76666666666642,3.2786523687260023,945.5228566444789,4755.266666666661,1805.1580450351466,15
17,299.1259275854645,4.37259572292739,463.3000000000011,4826.366666666667,3159.0265788115066,14
18,215.31666666665842,3.5151075917063284,677.2044328286793,5298.116666666672,1514.107093276559,18
19,668.4121735518656,9.854430630260607,332.8076277182099,5320.349999999987,742.3404630173746,16
20,599.4000000000024,11.29390524927673,696.7333333333358,6943.216666666675,0.0,21
21,304.9500000000062,9.105114448217035,930.5333333333301,6533.149999999998,698.7363322645782,24
22,273.1666666666679,6.899150211989669,846.7333333333377,6722.450000000017,407.6853805059903,24
