time,ship_id,state,port,berth_id
216.74442590920594,18,SERVICE_COMPLETE,Shanghai,1
216.74442590920594,18,DEPARTED,Shanghai,0
216.74442590920594,18,ENROUTE,Panama,0
217.70656596370645,2,BERTHED,Singapore,1
217.70656596370645,2,SERVICE_STARTED,Singapore,1
230.960167399092,7,BERTHED,Suez,2
230.960167399092,7,SERVICE_STARTED,Suez,2
235.52683406575866,14,QUEUED,Suez,0
252.47683406575868,7,SERVICE_COMPLETE,Suez,2
252.47683406575868,14,BERTHED,Suez,1
252.47683406575868,14,SERVICE_STARTED,Suez,1
252.47683406575868,7,DEPARTED,Suez,0
252.47683406575868,7,ENROUTE,Singapore,0
253.660167399092,1,SERVICE_COMPLETE,Suez,1
253.660167399092,1,DEPARTED,Suez,0
253.660167399092,1,ENROUTE,Antwerp,0
253.7398992970398,8,BERTHED,Singapore,2
253.7398992970398,8,SERVICE_STARTED,Singapore,2
256.7777592425392,10,SERVICE_COMPLETE,Shanghai,2
256.7777592425392,10,DEPARTED,Shanghai,0
256.7777592425392,10,ENROUTE,Panama,0
259.810167399092,21,BERTHED,Suez,1
259.810167399092,21,SERVICE_STARTED,Suez,1
262.15656596370644,2,SERVICE_COMPLETE,Singapore,1
262.15656596370644,2,DEPARTED,Singapore,0
262.15656596370644,2,ENROUTE,Suez,0
263.860167399092,14,SERVICE_COMPLETE,Suez,1
263.860167399092,14,DEPARTED,Suez,0
263.860167399092,14,ENROUTE,Singapore,0
264.8565659637065,8,SERVICE_COMPLETE,Singapore,2
264.8565659637065,8,DEPARTED,Singapore,0
264.8565659637065,8,ENROUTE,Shanghai,0
273.3398992970398,9,BERTHED,Singapore,1
273.3398992970398,9,SERVICE_STARTED,Singapore,1
279.17218515174517,3,BERTHED,Singapore,2
279.17218515174517,3,SERVICE_STARTED,Singapore,2
282.3644737094711,6,BERTHED,Antwerp,1
282.3644737094711,6,SERVICE_STARTED,Antwerp,1
293.03989929703977,9,SERVICE_COMPLETE,Singapore,1
293.03989929703977,9,DEPARTED,Singapore,0
293.03989929703977,9,ENROUTE,Panama,0
294.8065659637065,16,BERTHED,Singapore,1
294.8065659637065,16,SERVICE_STARTED,Singapore,1
300.3144737094711,13,BERTHED,Antwerp,2
300.3144737094711,13,SERVICE_STARTED,Antwerp,2
303.87323263037314,15,QUEUED,Singapore,0
306.0732326303731,16,SERVICE_COMPLETE,Singapore,1
306.0732326303731,15,BERTHED,Singapore,1
306.0732326303731,15,SERVICE_STARTED,Singapore,1
306.0732326303731,16,DEPARTED,Singapore,0
306.0732326303731,16,ENROUTE,Panama,0
314.79780704280444,6,SERVICE_COMPLETE,Antwerp,1
314.79780704280444,6,DEPARTED,Antwerp,0
314.79780704280444,6,ENROUTE,Panama,0
319.1435007324253,21,SERVICE_COMPLETE,Suez,1
319.1435007324253,21,DEPARTED,Suez,0
319.1435007324253,21,ENROUTE,Singapore,0
320.0644737094711,20,BERTHED,Antwerp,1
320.0644737094711,20,SERVICE_STARTED,Antwerp,1
