ship_id,improvement_h,improvement_ratio,time_in_queue,time_in_service,time_in_storm,loops
1,11.483333333336418,2.939016045650099,407.3333333333268,5896.316666666658,0.0,99
2,15.616666666664514,3.782376061953554,468.11849689338527,5624.166666666667,0.0,95
3,7.166666666667425,3.279605986774656,1118.0338431775856,9224.85,2853.797663541932,154
4,4.083333333333485,0.42676606130688904,219.61666666666733,2236.6833333333375,4512.895112587867,40
5,28.90000000000032,3.4280718561253547,276.3833333333314,3081.216666666654,1484.6809260347493,49
6,3.633333333331734,0.6528952324811672,453.29667107171525,4649.8666666666695,0.0,71
7,121.55000000002019,6.304765247745427,351.1647348928591,5999.316666666649,0.0,48
8,100.65000000000373,6.786391879495948,941.3707272723909,7175.30000000001,1834.5842122769566,58
9,61.26666666668643,1.8740919260481554,340.29879427702036,3442.46666666668,4061.60560132908,27
10,221.25000000000136,8.005712831426466,354.1159593856204,4379.949999999995,2707.737067552721,36
11,34.98333333333903,1.0204411783014098,593.6333333333364,3256.600000000015,4061.6056013290804,25
12,67.71666666665806,2.176509013137542,360.9514079853308,3286.183333333362,1484.6809260347493,29
13,61.633333333327755,2.856800210852225,551.1786632378081,5257.233333333343,0.0,41
14,282.83333333332484,7.232723477858594,1069.2999999999977,10264.733333333346,1019.2134512649757,33
15,378.3333333333394,6.8564562214352875,1111.7333333333336,7160.266666666663,1150.025843523365,25
16,232.76666666666642,3.2786523687260023,995.5728566444818,5957.050000000001,1805.1580450351466,19
17,325.24033332708314,4.754333741340947,653.1166666666668,5781.866666666667,3610.3160900702933,18
18,411.34999999998763,6.715409123841211,838.3544328286807,6610.733333333355,1514.107093276559,22
19,668.4121735518656,9.854430630260607,477.4409610515413,6670.016666666629,989.7872840231662,20
20,599.4000000000024,11.29390524927673,889.4333333333257,8707.649999999987,0.0,26
21,304.9500000000062,9.105114448217035,978.2499999999973,7923.116666666658,698.7363322645782,30
22,292.63333333334594,7.390804113613135,930.9333333333348,8274.849999999997,655.1322015117819,29
