ship_id,improvement_h,improvement_ratio,time_in_queue,time_in_service,time_in_storm,loops
1,38.549999999999045,9.211021973063355,23.883333333333333,1241.8499999999988,0.0,20
2,41.500000000000796,9.399139114085893,80.15000000000002,1105.983333333331,0.0,19
3,11.0333333333339,4.928774330872413,321.41666666666634,1953.8833333333318,407.6853805059903,31
4,14.03333333333319,1.4515864540956274,73.26666666666696,474.7833333333342,451.2895112587868,8
5,28.366666666667243,3.3428019680043324,132.0,638.5833333333318,494.8936420115831,10
6,26.466666666667834,4.541069345281401,63.299999999998974,870.5999999999979,0.0,14
7,79.51666666666688,4.1245077467418785,211.96473489285836,1238.2500000000002,0.0,9
8,142.08798224735142,9.31997630148743,96.96666666666665,1477.3499999999985,203.84269025299514,11
9,0.0,0.0,99.28333333333357,618.399999999998,1353.86853377636,5
10,221.25000000000136,8.005712831426466,93.74999999999943,811.9166666666658,698.7363322645783,7
11,0.0,0.0,167.84999999999997,640.5500000000013,1353.8685337763602,5
12,0.0,0.0,35.88333333333333,610.5833333333326,494.89364201158315,5
13,79.40000000000055,3.5496735710013514,65.39999999999975,955.7666666666664,0.0,8
14,166.15000000000055,4.248852112597214,243.25000000000023,1992.8333333333342,203.84269025299514,6
15,0.0,0.0,25.350000000000364,1317.7499999999986,451.28951125878666,5
16,268.8634350798966,3.7173271827474985,196.06666666666615,1151.8833333333337,0.0,4
17,299.1259275854645,4.37259572292739,71.26666666666642,891.5000000000002,1353.8685337763602,3
18,0.0,0.0,93.77981470789746,1358.75,451.2895112587867,4
19,557.889563067778,8.248095217822407,0.0,1207.2166666666665,247.44682100579158,4
20,15.38333333333776,0.29992340559217046,295.2666666666669,2074.9666666666662,0.0,5
21,41.51666666666597,1.2395933809098645,151.5666666666666,1665.3833333333332,0.0,6
22,197.86666666666952,5.068706549986367,334.6666666666665,1650.1499999999983,0.0,6
