ship_id,improvement_h,improvement_ratio,time_in_queue,time_in_service,time_in_storm,loops
1,39.28333333333626,9.386242451583435,675.1041321748545,7062.066666666673,0.0,120
2,44.16666666666595,10.003099860372181,629.9088639018141,6925.149999999997,0.0,114
3,17.75000000000105,7.929221544379398,838.6625267392067,11302.61666666667,3261.483044047922,185
4,14.03333333333319,1.4515864540956274,297.21666666667136,2788.0666666666725,5866.763646364227,48
5,34.45000000000027,4.059677830707913,350.8833333333296,3744.13333333332,1732.1277470405407,58
6,29.566666666670926,5.072957820233004,527.1940115799805,5855.4833333333745,0.0,85
7,85.15000000000782,4.416707205639517,642.2948800492295,7155.899999999983,0.0,58
8,152.83798224736051,10.025100997161276,1048.100392599395,8489.950000000006,1223.056141517971,70
9,61.26666666668643,1.8740919260481554,400.14999999999856,3989.6833333333343,3610.3160900702933,33
10,225.68333333333476,8.166128621494975,174.78333333333228,5418.69999999999,2955.1838885585116,44
11,66.50000000001273,1.9397619349322257,332.51903412089774,3744.350000000013,3610.3160900702937,30
12,66.66666666666242,2.142760534715905,320.6666666666698,4080.0833333333508,1732.1277470405407,34
13,132.8333333333385,5.938475726465507,592.0908567661737,6410.133333333357,0.0,49
14,282.83333333332484,7.232723477858594,1392.85351873477,12683.70000000002,1223.056141517971,39
15,322.3666666666504,5.842183975109802,1306.1500000000087,8564.383333333337,2300.0516870467295,29
16,268.8634350798966,3.7173271827474985,908.0000000000095,7232.349999999997,902.5790225175733,23
17,385.65926091884285,5.637532153809241,909.4333333333398,6910.516666666681,4512.8951125878675,22
18,411.34999999998763,6.715409123841211,685.430181143267,8423.433333333343,1310.2644030235638,27
19,780.8683900398446,11.544716481555412,865.9666666666453,8285.399999999958,989.7872840231662,25
20,530.6166666666595,10.345245356267666,1146.549733361619,10767.099999999991,0.0,31
21,241.93333333333976,7.223579894535678,1140.4848507495108,9347.566666666658,1150.0258435233648,36
22,236.90000000001237,6.068614799655403,1229.9166666666774,9442.816666666691,1062.817582017772,36
